"name","url","license","usedIn","since"
"@babel/preset-typescript","https://github.com/babel/babel","MIT","",""
"@babel/runtime-corejs3","https://github.com/babel/babel","MIT","",""
"@babel/runtime","https://github.com/babel/babel","MIT","",""
"@babel/template","https://github.com/babel/babel","MIT","",""
"@babel/traverse","https://github.com/babel/babel","MIT","",""
"@babel/types","https://github.com/babel/babel","MIT","",""
"@bcoe/v8-coverage","https://github.com/demurgos/v8-coverage","MIT","",""
"@cnakazawa/watch","https://github.com/mikeal/watch","Apache-2.0","",""
"@formatjs/intl-displaynames","https://github.com/formatjs/formatjs","MIT","",""
"@formatjs/intl-listformat","https://github.com/formatjs/formatjs","MIT","",""
"@formatjs/intl-relativetimeformat","https://github.com/formatjs/formatjs","MIT","",""
"@formatjs/intl-unified-numberformat","https://github.com/formatjs/formatjs","MIT","",""
"@formatjs/intl-utils","https://github.com/formatjs/formatjs","MIT","",""
"@istanbuljs/load-nyc-config","https://github.com/istanbuljs/load-nyc-config","ISC","",""
"@istanbuljs/schema","https://github.com/istanbuljs/schema","MIT","",""
"@jest/console","https://github.com/facebook/jest","MIT","",""
"@jest/core","https://github.com/facebook/jest","MIT","",""
"@jest/environment","https://github.com/facebook/jest","MIT","",""
"@jest/fake-timers","https://github.com/facebook/jest","MIT","",""
"@jest/globals","https://github.com/facebook/jest","MIT","",""
"@jest/reporters","https://github.com/facebook/jest","MIT","",""
"@jest/source-map","https://github.com/facebook/jest","MIT","",""
"@jest/test-result","https://github.com/facebook/jest","MIT","",""
"@jest/test-sequencer","https://github.com/facebook/jest","MIT","",""
"@jest/transform","https://github.com/facebook/jest","MIT","",""
"@jest/types","https://github.com/facebook/jest","MIT","",""
"@sheerun/mutationobserver-shim","github.com/megawac/MutationObserver.js","MIT","",""
"@sinonjs/commons","https://github.com/sinonjs/commons","BSD-3-Clause","",""
"@testing-library/dom","https://github.com/testing-library/dom-testing-library","MIT","",""
"@testing-library/jest-dom","https://github.com/testing-library/jest-dom","MIT","",""
"@testing-library/react-hooks","https://github.com/testing-library/react-hooks-testing-library","MIT","",""
"@testing-library/react","https://github.com/testing-library/react-testing-library","MIT","",""
"@types/accepts","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/aria-query","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/babel__core","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/babel__generator","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/babel__template","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/babel__traverse","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/body-parser","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/co-body","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/color-name","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/connect","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/content-disposition","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/cookies","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/express-serve-static-core","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/express","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/graceful-fs","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/graphql","https://github.com/graphql/graphql-js","MIT","",""
"@types/hoist-non-react-statics","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/http-assert","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/http-errors","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/invariant","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/istanbul-lib-coverage","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/istanbul-lib-report","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/istanbul-reports","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/jest","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/keygrip","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/koa-compose","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/koa","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/mime","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/node","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/normalize-package-data","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/prettier","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/prop-types","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/qs","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/range-parser","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/react-dom","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/react-intl","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/react-test-renderer","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/react","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/serve-static","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/stack-utils","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/testing-library__dom","https://github.com/testing-library/dom-testing-library","MIT","",""
"@types/testing-library__jest-dom","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/testing-library__react-hooks","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/testing-library__react","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/yargs-parser","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/yargs","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@types/zen-observable","https://github.com/DefinitelyTyped/DefinitelyTyped","MIT","",""
"@vtex/api","https://github.com/vtex/node-vtex-api","MIT","",""
"@vtex/butik",,"MIT","",""
"@vtex/micro-assets",,"MIT","",""
"@vtex/micro-cli",,"MIT","",""
"@vtex/micro-core",,"MIT","",""
"@vtex/micro-css",,"MIT","",""
"@vtex/micro-react-intl",,"MIT","",""
"@vtex/micro-react-router",,"MIT","",""
"@vtex/micro-react",,"MIT","",""
"@vtex/micro-server",,"MIT","",""
"@vtex/test-tools","https://github.com/vtex/test-tools","MIT","",""
"@vtex/tsconfig",,"MIT","",""
"@vtex/vtex-scripts","https://github.com/vtex-apps/vtex-scripts","ISC","",""
"@wry/context","https://github.com/benjamn/wryware","MIT","",""
"@wry/equality","https://github.com/benjamn/wryware","MIT","",""
"abab","https://github.com/jsdom/abab","BSD-3-Clause","",""
"accepts","https://github.com/jshttp/accepts","MIT","",""
"acorn-globals","https://github.com/ForbesLindesay/acorn-globals","MIT","",""
"acorn-walk","https://github.com/acornjs/acorn","MIT","",""
"acorn","https://github.com/acornjs/acorn","MIT","",""
"agentkeepalive","https://github.com/node-modules/agentkeepalive","MIT","",""
"ajv","https://github.com/ajv-validator/ajv","MIT","",""
"ansi-escapes","https://github.com/sindresorhus/ansi-escapes","MIT","",""
"ansi-regex","https://github.com/chalk/ansi-regex","MIT","",""
"ansi-styles","https://github.com/chalk/ansi-styles","MIT","",""
"any-promise","https://github.com/kevinbeaty/any-promise","MIT","",""
"anymatch","https://github.com/micromatch/anymatch","ISC","",""
"apollo-cache-inmemory","https://github.com/apollographql/apollo-client","MIT","",""
"apollo-cache","https://github.com/apollographql/apollo-client","MIT","",""
"apollo-client","https://github.com/apollographql/apollo-client","MIT","",""
"apollo-link","https://github.com/apollographql/apollo-link","MIT","",""
"apollo-server-errors","https://github.com/apollographql/apollo-server","MIT","",""
"apollo-utilities","https://github.com/apollographql/apollo-client","MIT","",""
"archiver-utils","https://github.com/archiverjs/archiver-utils","MIT","",""
"archiver","https://github.com/archiverjs/node-archiver","MIT","",""
"argparse","https://github.com/nodeca/argparse","MIT","",""
"aria-query","https://github.com/A11yance/aria-query","Apache-2.0","",""
"arr-diff","https://github.com/jonschlinkert/arr-diff","MIT","",""
"arr-flatten","https://github.com/jonschlinkert/arr-flatten","MIT","",""
"arr-union","https://github.com/jonschlinkert/arr-union","MIT","",""
"array-equal","https://github.com/component/array-equal","MIT","",""
"array-unique","https://github.com/jonschlinkert/array-unique","MIT","",""
"asn1","https://github.com/joyent/node-asn1","MIT","",""
"assert-plus","https://github.com/mcavage/node-assert-plus","MIT","",""
"assign-symbols","https://github.com/jonschlinkert/assign-symbols","MIT","",""
"astral-regex","https://github.com/kevva/astral-regex","MIT","",""
"async-limiter","https://github.com/strml/async-limiter","MIT","",""
"async","https://github.com/caolan/async","MIT","",""
"asynckit","https://github.com/alexindigo/asynckit","MIT","",""
"atob","git://git.coolaj86.com/coolaj86/atob.js","(MIT OR Apache-2.0)","",""
"aws-sign2","https://github.com/mikeal/aws-sign","Apache-2.0","",""
"aws4","github:mhart/aws4","MIT","",""
"axios-retry","https://github.com/softonic/axios-retry","Apache-2.0","",""
"axios","https://github.com/axios/axios","MIT","",""
"babel-jest","https://github.com/facebook/jest","MIT","",""
"babel-plugin-const-enum","https://github.com/dosentmatter/babel-plugin-const-enum","MIT","",""
"babel-plugin-dynamic-import-node","https://github.com/airbnb/babel-plugin-dynamic-import-node","MIT","",""
"babel-plugin-istanbul","https://github.com/istanbuljs/babel-plugin-istanbul","BSD-3-Clause","",""
"babel-plugin-jest-hoist","https://github.com/facebook/jest","MIT","",""
"babel-preset-current-node-syntax","https://github.com/nicolo-ribaudo/babel-preset-current-node-syntax","MIT","",""
"babel-preset-jest","https://github.com/facebook/jest","MIT","",""
"balanced-match","https://github.com/juliangruber/balanced-match","MIT","",""
"base64-js","https://github.com/beatgammit/base64-js","MIT","",""
"base","https://github.com/node-base/base","MIT","",""
"bcrypt-pbkdf","https://github.com/joyent/node-bcrypt-pbkdf","BSD-3-Clause","",""
"bindings","https://github.com/TooTallNate/node-bindings","MIT","",""
"bintrees","https://github.com/vadimg/js_bintrees","MIT*","",""
"bl","https://github.com/rvagg/bl","MIT","",""
"bluebird","https://github.com/petkaantonov/bluebird","MIT","",""
"brace-expansion","https://github.com/juliangruber/brace-expansion","MIT","",""
"braces","https://github.com/micromatch/braces","MIT","",""
"browser-process-hrtime","https://github.com/kumavis/browser-process-hrtime","BSD-2-Clause","",""
"browser-resolve","https://github.com/shtylman/node-browser-resolve","MIT","",""
"browserslist","https://github.com/browserslist/browserslist","MIT","",""
"bser","https://github.com/facebook/watchman","Apache-2.0","",""
"buffer-crc32","https://github.com/brianloveswords/buffer-crc32","MIT","",""
"buffer-from","https://github.com/LinusU/buffer-from","MIT","",""
"buffer","https://github.com/feross/buffer","MIT","",""
"bufrw","https://github.com/uber/bufrw","MIT","",""
"builtin-modules","https://github.com/sindresorhus/builtin-modules","MIT","",""
"busboy","http://github.com/mscdex/busboy","MIT","",""
"bytes","https://github.com/visionmedia/bytes.js","MIT","",""
"cache-base","https://github.com/jonschlinkert/cache-base","MIT","",""
"cache-content-type","https://github.com/node-modules/cache-content-type","MIT","",""
"callsites","https://github.com/sindresorhus/callsites","MIT","",""
"camelcase","https://github.com/sindresorhus/camelcase","MIT","",""
"caniuse-lite","https://github.com/ben-eb/caniuse-lite","CC-BY-4.0","",""
"capture-exit","https://github.com/stefanpenner/capture-exit","ISC","",""
"caseless","https://github.com/mikeal/caseless","Apache-2.0","",""
"chalk","https://github.com/chalk/chalk","MIT","",""
"chownr","https://github.com/isaacs/chownr","ISC","",""
"ci-info","https://github.com/watson/ci-info","MIT","",""
"class-utils","https://github.com/jonschlinkert/class-utils","MIT","",""
"cliui","http://github.com/yargs/cliui","ISC","",""
"co-body","https://github.com/cojs/co-body","MIT","",""
"co","https://github.com/tj/co","MIT","",""
"collect-v8-coverage","https://github.com/SimenB/collect-v8-coverage","MIT","",""
